ts,ph,sp,error,t_pulso,accion
2026-06-26T16:06:54,6.84,7.0,0.16,10.0,pulso_10s
2026-06-26T16:07:14,6.64,7.0,0.36,14.33,pulso_14s
2026-06-26T16:07:34,6.5,7.0,0.5,17.6,pulso_18s
2026-06-26T16:07:54,6.51,7.0,0.49,16.99,pulso_17s
2026-06-26T16:08:14,6.55,7.0,0.45,15.16,pulso_15s
2026-06-26T16:08:34,6.6,7.0,0.4,14.36,pulso_14s
2026-06-26T16:08:54,6.62,7.0,0.38,14.34,pulso_14s
2026-06-26T16:09:14,6.64,7.0,0.36,14.33,pulso_14s
2026-06-26T16:10:34,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T16:10:54,6.77,7.0,0.23,10.64,pulso_11s
2026-06-26T16:11:14,6.79,7.0,0.21,10.0,pulso_10s
2026-06-26T16:11:34,6.82,7.0,0.18,10.0,pulso_10s
2026-06-26T16:12:34,6.89,7.0,0.11,10.0,pulso_10s
2026-06-26T16:12:54,6.91,7.0,0.09,0.0,prefiltro
2026-06-26T16:13:14,6.92,7.0,0.08,0.0,prefiltro
2026-06-26T16:13:34,6.94,7.0,0.06,0.0,prefiltro
2026-06-26T16:13:54,6.95,7.0,0.05,0.0,prefiltro
2026-06-26T16:14:14,6.96,7.0,0.04,0.0,prefiltro
2026-06-26T16:14:34,6.97,7.0,0.03,0.0,prefiltro
2026-06-26T16:14:54,6.98,7.0,0.02,0.0,prefiltro
2026-06-26T16:15:14,6.99,7.0,0.01,0.0,prefiltro
2026-06-26T16:15:34,7.0,7.0,0.0,0.0,prefiltro
2026-06-26T16:15:54,7.01,7.0,-0.01,0.0,prefiltro
