ts,ph,sp,error,t_pulso,accion
2026-06-26T12:47:15,5.84,6.5,0.66,10.0,pulso_10s
2026-06-26T12:48:15,5.87,6.5,0.63,10.0,pulso_10s
2026-06-26T12:48:35,5.88,6.5,0.62,10.0,pulso_10s
2026-06-26T12:48:55,5.9,6.5,0.6,10.0,pulso_10s
2026-06-26T12:49:15,5.92,6.5,0.58,10.0,pulso_10s
2026-06-26T12:50:35,5.97,6.5,0.53,10.0,pulso_10s
2026-06-26T12:50:55,5.98,6.5,0.52,10.0,pulso_10s
2026-06-26T12:51:15,5.99,6.5,0.51,10.0,pulso_10s
2026-06-26T12:51:35,6.01,6.5,0.49,10.0,pulso_10s
2026-06-26T12:51:55,6.04,6.5,0.46,10.0,pulso_10s
2026-06-26T12:52:15,6.06,6.5,0.44,10.0,pulso_10s
2026-06-26T12:52:35,6.08,6.5,0.42,10.0,pulso_10s
2026-06-26T12:52:55,6.1,6.5,0.4,10.0,pulso_10s
2026-06-26T12:53:15,6.13,6.5,0.37,10.0,pulso_10s
2026-06-26T12:54:35,6.21,6.5,0.29,9.73,pulso_10s
2026-06-26T12:54:55,6.22,6.5,0.28,9.47,pulso_9s
2026-06-26T12:55:15,6.24,6.5,0.26,8.96,pulso_9s
2026-06-26T12:55:35,6.25,6.5,0.25,8.7,pulso_9s
2026-06-26T12:55:55,6.27,6.5,0.23,8.17,pulso_8s
2026-06-26T12:56:15,6.3,6.5,0.2,7.3,pulso_7s
2026-06-26T12:56:35,6.33,6.5,0.17,6.25,pulso_6s
