#,timestamp,evento,volumen_ml,vol_acumulado_ml,pH,temperatura_C,notas
1,17:51:12,inicio,0,0,7.93,21.3,
2,17:54:45,vinagre,5,5,5.34,21.3,
3,17:56:41,vinagre,3,8,4.74,21.3,
4,17:58:33,vinagre,3,11,4.46,21.2,
5,18:00:53,vinagre,3,14,4.28,21.1,
6,18:02:52,vinagre,3,17,4.11,21.1,
7,18:05:02,vinagre,3,20,4.03,21,
8,18:06:35,vinagre,3,23,3.97,21,
9,18:08:17,ninguno,0,23,3.97,21,
10,18:24:10,salina,3,26,3.97,20.6,
11,18:26:08,retiro,3,23,3.97,20.6,
12,18:26:51,salina,5,28,3.98,20.6,
13,18:27:38,retiro,5,23,3.98,20.6,
14,18:28:28,salina,5,28,3.98,20.6,
15,18:28:58,retiro,5,23,3.98,20.6,
16,18:29:37,salina,5,28,3.98,20.6,
17,18:30:16,retiro,5,23,3.98,20.5,
18,18:31:16,salina,5,28,3.99,20.5,
19,18:31:50,retiro,5,23,3.99,20.5,
20,18:32:39,salina,5,28,3.99,20.5,
21,18:33:36,retiro,5,23,3.99,20.5,
22,18:34:07,salina,5,28,3.99,20.5,
23,18:39:30,retiro,5,23,3.99,20.4,
24,18:40:02,salina,5,28,4,20.4,
25,18:41:29,retiro,5,23,3.99,20.3,
26,18:42:33,salina,5,28,4,20.3,
27,18:42:58,retiro,5,23,4,20.3,
28,18:43:27,salina,5,28,3.99,20.3,
29,18:44:14,retiro,5,23,4,20.3,
30,18:44:57,salina,10,33,4,20.3,
31,18:45:36,retiro,10,23,4.01,20.3,
32,18:46:32,salina,20,43,4.01,20.3,
33,18:47:16,retiro,20,23,4.02,20.2,
34,18:48:19,salina,20,43,4.03,20.3,
35,18:49:18,retiro,20,23,4.03,20.2,
36,18:50:19,salina,20,43,4.04,20.2,
37,18:51:18,retiro,20,23,4.04,20.2,
38,18:51:30,retiro,5,18,4.04,20.2,
39,18:52:31,salina,25,43,4.05,20.2,
40,18:53:34,retiro,25,18,4.05,20.2,
41,18:54:24,salina,25,43,4.06,20.2,
42,18:55:02,retiro,25,18,4.07,20.2,
43,18:56:09,salina,25,43,4.07,20.2,
44,18:57:33,retiro,25,18,4.07,20.2,
45,18:58:14,salina,25,43,4.1,20.1,
46,18:59:09,retiro,25,18,4.09,20.1,
47,18:59:51,salina,25,43,4.1,20.1,
48,19:00:31,retiro,25,18,4.1,20.1,
49,19:01:22,salina,25,43,4.12,20.1,
50,19:02:18,retiro,25,18,4.12,20.1,
51,19:02:55,salina,25,43,4.13,20.1,
52,19:03:48,retiro,25,18,4.13,20.1,
53,19:05:01,salina,25,43,4.14,20.1,
54,19:06:11,retiro,25,18,4.14,20.1,
55,19:07:38,salina,25,43,4.16,20,
56,19:08:47,retiro,25,18,4.16,20,
57,19:10:03,salina,25,43,4.17,20,
58,19:11:00,retiro,25,18,4.17,20,
59,19:12:15,salina,25,43,4.19,20,
60,19:14:26,retiro,25,18,4.19,19.9,
61,19:15:18,salina,25,43,4.2,19.8,
62,19:16:26,retiro,25,18,4.2,19.8,
63,19:17:10,salina,25,43,4.21,19.8,
64,19:19:06,salina,25,68,4.22,19.7,
65,19:20:01,retiro,25,43,4.22,19.7,
66,19:20:48,salina,25,68,4.24,19.7,
67,19:21:49,retiro,25,43,4.24,19.7,
68,19:22:35,retiro,25,18,4.23,19.7,
69,19:23:23,salina,25,43,4.25,19.7,
70,19:24:11,retiro,25,18,4.25,19.6,
71,19:25:03,salina,25,43,4.27,19.6,
72,19:25:34,retiro,25,18,4.27,19.6,
73,19:26:19,salina,25,43,4.28,19.6,
74,19:27:37,retiro,25,18,4.28,19.6,
75,19:28:17,salina,25,43,4.3,19.6,
76,19:29:02,retiro,25,18,4.3,19.5,
77,19:29:44,salina,25,43,4.31,19.5,
78,19:30:30,retiro,25,18,4.32,19.5,
79,19:31:12,salina,25,43,4.33,19.5,
80,19:32:00,retiro,25,18,4.33,19.5,
81,19:32:44,salina,25,43,4.35,19.5,
82,19:33:28,retiro,25,18,4.35,19.4,
83,19:35:30,salina,25,43,4.39,19.4,
84,19:36:19,retiro,25,18,4.39,19.4,
85,19:37:20,salina,25,43,4.41,19.4,
86,19:38:10,retiro,25,18,4.41,19.4,
87,19:38:56,salina,25,43,4.42,19.4,
88,19:39:41,retiro,25,18,4.43,19.3,
89,19:40:32,salina,25,43,4.45,19.3,
90,19:41:18,retiro,25,18,4.45,19.3,
91,19:42:07,salina,25,43,4.47,19.3,
92,19:43:58,retiro,25,18,4.46,19.3,
93,19:44:46,salina,25,43,4.49,19.3,
94,19:45:47,retiro,25,18,4.48,19.3,
95,19:46:43,salina,25,43,4.5,19.2,
96,19:51:10,retiro,25,18,4.5,19.2,
97,19:51:57,salina,25,43,4.52,19.2,
98,19:52:32,retiro,25,18,4.52,19.2,
99,19:53:12,salina,25,43,4.55,19.2,
100,19:53:57,retiro,25,18,4.54,19.2,
101,19:54:44,salina,25,43,4.57,19.1,
102,19:55:23,retiro,25,18,4.56,19.2,
103,19:56:12,salina,25,43,4.59,19.1,
104,19:56:55,retiro,25,18,4.59,19.1,
105,19:58:09,salina,25,43,4.61,19.1,
106,19:59:05,retiro,25,18,4.61,19.1,
107,19:59:51,salina,25,43,4.63,19.1,
108,20:00:36,retiro,25,18,4.63,19.1,
109,20:01:20,salina,25,43,4.66,19.1,
110,20:01:48,retiro,25,18,4.66,19.1,
111,20:02:43,salina,25,43,4.68,19.1,
112,20:03:20,retiro,25,18,4.68,19.1,
113,20:04:11,salina,25,43,4.7,19,
114,20:04:57,salina,25,68,4.73,19,
115,20:05:51,retiro,50,18,4.73,19,
116,20:06:28,salina,25,43,4.76,19,
117,20:06:59,salina,25,68,4.79,19,
118,20:07:59,retiro,50,18,4.78,19,
119,20:08:55,salina,25,43,4.82,19,
120,20:10:10,retiro,25,18,4.82,19,
121,20:10:40,salina,25,43,4.84,19,
122,20:11:12,retiro,25,18,4.84,19,
123,20:11:52,salina,25,43,4.87,19,
124,20:12:23,retiro,25,18,4.87,19,
125,20:12:50,salina,25,43,4.91,19,
126,20:13:33,retiro,25,18,4.9,19,
127,20:13:57,salina,25,43,4.93,19,
128,20:14:34,retiro,25,18,4.94,18.9,
129,20:15:03,salina,25,43,4.95,18.9,
130,20:15:33,retiro,25,18,4.96,18.9,
131,20:16:13,salina,25,43,5,18.9,
132,20:18:15,retiro,25,18,5,18.9,
133,20:18:47,salina,25,43,5.04,18.9,
134,20:19:15,retiro,25,18,5.04,18.9,
135,20:19:44,salina,25,43,5.06,18.9,
136,20:20:16,retiro,25,18,5.07,18.9,
137,20:20:56,salina,25,43,5.1,18.9,
138,20:21:32,retiro,25,18,5.1,18.9,
139,20:22:03,salina,25,43,5.12,18.9,
140,20:22:35,retiro,25,18,5.14,18.9,
141,20:23:03,salina,25,43,5.2,18.9,
142,20:23:37,retiro,25,18,5.21,18.9,
143,20:23:57,salina,25,43,5.23,18.9,
144,20:24:27,retiro,25,18,5.23,18.9,
145,20:24:57,salina,25,43,5.28,18.9,
146,20:25:24,retiro,25,18,5.28,18.9,
147,20:25:48,salina,25,43,5.32,18.9,
148,20:26:14,retiro,25,18,5.34,18.9,
149,20:26:41,salina,25,43,5.38,18.9,
150,20:27:06,retiro,25,18,5.39,18.9,
151,20:27:35,salina,25,43,5.42,18.9,
152,20:28:02,retiro,25,18,5.45,18.9,
153,20:28:27,salina,25,43,5.49,18.9,
154,20:28:58,retiro,25,18,5.52,18.9,
155,20:31:33,salina,25,43,5.55,18.9,
156,20:32:02,retiro,25,18,5.58,18.9,
157,20:32:26,salina,25,43,5.61,18.9,
158,20:33:22,retiro,25,18,5.65,18.9,
159,20:33:54,salina,25,43,5.67,18.9,"equivocación, aquí solo se agregaron 3 y en la pasada ya había agregado 2"
160,20:34:40,retiro,25,18,5.69,18.9,
161,20:34:57,salina,25,43,5.71,18.9,
162,20:35:29,retiro,25,18,5.75,18.9,
163,20:35:49,retiro,25,-7,5.78,18.9,
164,20:36:48,retiro,25,-32,5.81,18.8,en el pasado era entrada de solucion salina
165,20:37:31,salina,25,-7,5.86,18.8,
166,20:38:11,retiro,25,-32,5.88,18.8,
167,20:38:34,salina,25,-7,5.92,18.8,
168,20:39:04,retiro,25,-32,5.93,18.8,
169,20:39:24,salina,25,-7,5.96,18.8,
170,20:40:15,retiro,25,-32,5.98,18.8,
171,20:40:43,salina,25,-7,5.99,18.8,
172,20:41:16,retiro,25,-32,6.04,18.8,
173,20:41:49,salina,25,-7,6.06,18.8,
174,20:47:11,retiro,25,-32,6.08,18.8,
175,20:47:34,salina,25,-7,6.12,18.8,
176,20:55:58,retiro,25,-32,6.14,18.8,
177,20:57:20,salina,25,-7,6.18,18.7,
178,20:58:23,retiro,25,-32,6.18,18.8,
179,20:58:52,salina,25,-7,6.18,18.7,
180,21:05:25,retiro,25,-32,6.22,18.7,
181,21:06:05,salina,25,-7,6.26,18.7,
182,21:07:00,retiro,25,-32,6.27,18.7,
183,21:07:24,retiro,5,-37,6.27,18.7,
184,21:08:16,salina,30,-7,6.31,18.7,
185,21:09:09,retiro,25,-32,6.33,18.7,
186,21:09:41,salina,35,3,6.34,18.7,
187,21:10:29,retiro,25,-22,6.36,18.7,
188,21:11:10,salina,25,3,6.37,18.7,
189,21:11:52,retiro,25,-22,6.4,18.7,
190,21:12:25,salina,25,3,6.43,18.7,
191,21:12:57,retiro,25,-22,6.45,18.7,
192,21:13:36,salina,25,3,6.47,18.7,
193,21:14:12,retiro,25,-22,6.49,18.7,
194,21:15:21,salina,25,3,6.52,18.7,
195,22:14:20,retiro,25,-22,6.55,18.5,
196,22:15:20,salina,25,3,6.6,18.4,
197,22:17:15,retiro,25,-22,6.61,18.4,
198,22:18:02,salina,25,3,6.63,18.4,
199,22:18:51,retiro,25,-22,6.64,18.4,
